claim,category,label
Average rainfall increased by 20 percent this decade.,environmental,needs_verification
"The clinical trial enrolled 3,000 participants.",health,needs_verification
The company will launch its new product next month.,corporate,high_priority
The local hospital has added twenty new beds.,health,needs_verification
The rainforest lost 10 percent of its cover this decade.,environmental,high_priority
The stock market consists of exchanges where shares are traded.,financial,context_sufficient
The city's mayor was re-elected for a third term.,political,needs_verification
Sleep is essential for physical and mental recovery.,health,context_sufficient
This treatment will reduce cancer mortality by 30 percent by 2030.,health,high_priority
The team's captain is the league's top scorer this season.,person,needs_verification
A corporation is a legal entity separate from its owners.,corporate,context_sufficient
The hospital reduced patient wait times by 30 percent.,health,high_priority
The startup raised 50 million dollars in its latest funding round.,financial,high_priority
Germany is located in Europe.,geography,context_sufficient
The professor is currently the department chair.,person,needs_verification
The new therapy has no side effects.,health,high_priority
"The factory produces 10,000 units per day.",corporate,needs_verification
The farmers reported a better harvest this year.,statistical,needs_verification
The school district revised its curriculum this year.,political,needs_verification
India has 28 states and will become the world's largest economy by 2030.,political,high_priority
The software update fixed several bugs.,corporate,needs_verification
Egypt is located in Africa.,geography,context_sufficient
The country's GDP grew by 6 percent last year.,financial,high_priority
The Nile is a river in Africa.,geography,context_sufficient
The team signed a new player this season.,person,needs_verification
"If demand continues to rise, prices could increase further.",financial,needs_verification
"India launched a new satellite in 2025 and the satellite weighs 5,000 kilograms.",scientific,needs_verification
The surgery has a 99 percent success rate.,health,high_priority
"The satellite weighs 5,000 kilograms.",scientific,needs_verification
"A balanced diet includes proteins, carbohydrates, and fats.",health,context_sufficient
The clinic introduced a new appointment booking system.,health,needs_verification
Air quality in the city improved marginally this year.,environmental,needs_verification
The freezing point of water is 0 degrees Celsius.,scientific,context_sufficient
The country will hold elections within six months.,political,high_priority
The retailer's online sales grew by 25 percent this quarter.,financial,needs_verification
The new smartphone model has a larger battery than its predecessor.,corporate,needs_verification
He currently serves as the finance minister.,political,needs_verification
The glacier has retreated more than any other on record.,environmental,high_priority
Regular exercise reduces the risk of heart disease.,health,context_sufficient
The city's crime rate dropped by 15 percent this year.,statistical,high_priority
The startup raised new funding and plans to double its team next year.,corporate,high_priority
"The speed of light is approximately 300,000 kilometers per second.",scientific,context_sufficient
Tesla is the world's most valuable automobile company.,corporate,high_priority
Brazil is located in South America.,geography,context_sufficient
The factory hired additional staff for the holiday season.,corporate,needs_verification
