claim,category,label
India has 28 states and 8 union territories.,geography,context_sufficient
Water boils at 100 degrees Celsius at sea level.,scientific,context_sufficient
The Earth orbits the Sun once every 365.25 days.,scientific,context_sufficient
The human heart has four chambers.,scientific,context_sufficient
Mount Everest is the tallest mountain above sea level.,geography,context_sufficient
The Pacific Ocean is the largest ocean on Earth.,geography,context_sufficient
A triangle has three sides.,scientific,context_sufficient
The United Nations was founded in 1945.,political,context_sufficient
Python is a programming language.,corporate,context_sufficient
The French Revolution began in 1789.,political,context_sufficient
Oxygen is required for human respiration.,scientific,context_sufficient
The capital of Japan is Tokyo.,geography,context_sufficient
A leap year has 366 days.,scientific,context_sufficient
The Great Wall of China is located in China.,geography,context_sufficient
Light travels faster than sound.,scientific,context_sufficient
The Constitution of India was adopted in 1949.,political,context_sufficient
A hexagon has six sides.,scientific,context_sufficient
The Amazon River flows through South America.,geography,context_sufficient
World War II ended in 1945.,political,context_sufficient
The freezing point of water is 0 degrees Celsius.,scientific,context_sufficient
The company reported a profit last quarter.,corporate,needs_verification
The new smartphone model has a larger battery than its predecessor.,corporate,needs_verification
The local hospital has added twenty new beds.,health,needs_verification
The city's population grew slightly this year.,statistical,needs_verification
The bridge renovation is currently underway.,corporate,needs_verification
The museum's new exhibit features contemporary art.,corporate,needs_verification
The regional airline added a new domestic route.,corporate,needs_verification
The university published a new research paper on climate patterns.,scientific,needs_verification
The startup recently moved to a larger office.,corporate,needs_verification
The library extended its weekend hours.,corporate,needs_verification
The team signed a new player this season.,person,needs_verification
The restaurant chain opened three new locations.,corporate,needs_verification
The city council approved a new park design.,political,needs_verification
The software update fixed several bugs.,corporate,needs_verification
The farmers reported a better harvest this year.,statistical,needs_verification
The company increased its revenue by 40 percent in 2025.,financial,high_priority
Unemployment fell by 2 percent last month.,statistical,high_priority
The city's crime rate dropped by 15 percent this year.,statistical,high_priority
"The satellite weighs 5,000 kilograms.",scientific,needs_verification
The company's stock price rose by 8 percent yesterday.,financial,high_priority
The vaccine is 95 percent effective against the virus.,health,high_priority
"The factory produces 10,000 units per day.",corporate,needs_verification
Average rainfall increased by 20 percent this decade.,environmental,needs_verification
The country's GDP grew by 6 percent last year.,financial,high_priority
The airline carried 2 million passengers last month.,statistical,needs_verification
India's GDP will surpass the United States by 2030.,financial,high_priority
The company will launch its new product next month.,corporate,high_priority
The government will introduce a new AI policy next year.,political,high_priority
This treatment will reduce cancer mortality by 30 percent by 2030.,health,high_priority
The stock market will rise sharply next quarter.,financial,high_priority
The city will complete the new metro line by 2027.,political,high_priority
The team will win the championship next season.,person,high_priority
The country will become carbon neutral by 2050.,environmental,high_priority
The startup will go public within two years.,corporate,high_priority
Interest rates will increase next quarter.,financial,high_priority
The population will double by 2060.,statistical,high_priority
A new species of frog will be discovered in the region soon.,environmental,high_priority
The company expects to double its workforce next year.,corporate,high_priority
The new drug will be approved by regulators next year.,health,high_priority
"If interest rates increase, housing prices could fall.",financial,needs_verification
"If the treaty is signed, tensions may ease in the region.",political,needs_verification
"If demand continues to rise, prices could increase further.",financial,needs_verification
"If the drought continues, crop yields may decline sharply.",environmental,high_priority
"If the merger goes through, thousands of jobs could be affected.",corporate,high_priority
"If approved, the vaccine could reach markets within a year.",health,high_priority
The company's decision clearly destroyed investor confidence.,corporate,high_priority
The new policy has already damaged small businesses.,political,high_priority
The scandal ended the senator's political career.,political,high_priority
The product recall ruined the brand's reputation overnight.,corporate,needs_verification
The outage cost the company millions in lost sales.,financial,high_priority
The controversy split the party into two factions.,political,needs_verification
Tesla is the world's most valuable automobile company.,corporate,high_priority
She is the CEO of the company.,person,needs_verification
He currently serves as the finance minister.,political,needs_verification
The team's captain is the league's top scorer this season.,person,needs_verification
The city's mayor was re-elected for a third term.,political,needs_verification
The actor is the highest-paid performer in the industry this year.,person,high_priority
The new diet cures diabetes within weeks.,health,high_priority
Regular exercise reduces the risk of heart disease.,health,context_sufficient
